NAME,X,Y,STATE,STATUS,BEDS
HIGHLAND HOSPITAL,-77.60599645,43.1352912,NY,OPEN,261.0
ROCHESTER GENERAL HOSPITAL,-77.58681449,43.19224113,NY,OPEN,528.0
CARTHAGE AREA HOSPITAL,-75.59409131,43.98725597,NY,OPEN,35.0
STRONG MEMORIAL HOSPITAL,-77.62425943,43.12280887,NY,OPEN,830.0
MONROE COMMUNITY HOSPITAL,-77.61799167,43.11299768,NY,OPEN,39.0
LONG ISLAND JEWISH VALLEY STREAM,-73.6862992,40.6811275,NY,OPEN,330.0
NORTH SHORE UNIVERSITY HOSPITAL,-73.70161094,40.77763592,NY,OPEN,764.0
NASSAU UNIVERSITY MEDICAL CENTER,-73.55373801,40.72625551,NY,OPEN,530.0
SYOSSET HOSPITAL,-73.50866605,40.81087429,NY,OPEN,103.0
ST. JOSEPH HOSPITAL,-73.47871819,40.72677129,NY,OPEN,203.0
MERCY MEDICAL CENTER,-73.63160381,40.68851303,NY,OPEN,375.0
PLAINVIEW HOSPITAL,-73.47853471,40.77495423,NY,OPEN,219.0
SOUTH NASSAU COMMUNITIES HOSPITAL,-73.63083944,40.650998,NY,OPEN,455.0
EASTERN NIAGARA HOSPITAL,-78.67114428,43.17737108,NY,OPEN,140.0
NIAGARA FALLS MEMORIAL MEDICAL CENTER,-79.04971013,43.09392082,NY,OPEN,171.0
DEGRAFF MEMORIAL HOSPITAL,-78.86234244,43.02541801,NY,OPEN,66.0
SAINT FRANCIS HOSPITAL,-73.67058968,40.80475473,NY,OPEN,364.0
MOUNT ST. MARY'S HOSPITAL,-79.03243072,43.15418402,NY,OPEN,175.0
ROME MEMORIAL HOSPITAL,-75.44235499,43.22913433,NY,OPEN,130.0
FAXTON-ST. LUKE'S HEALTHCARE - FAXTON CAMPUS,-75.25811712,43.09100972,NY,OPEN,24.0
UPSTATE UNIVERSITY HOSPITAL - COMMUNITY CAMPUS,-76.16790218,43.00803767,NY,OPEN,326.0
UPSTATE UNIVERSITY HOSPITAL - DOWNTOWN CAMPUS,-76.13983046,43.04189732,NY,OPEN,409.0
CROUSE HOSPITAL,-76.13839401,43.04129917,NY,OPEN,466.0
CLIFTON SPRINGS HOSPITAL,-77.13651575,42.95970084,NY,OPEN,154.0
GENEVA GENERAL HOSPITAL,-76.98776837,42.87646048,NY,OPEN,132.0
ST. LUKE'S CORNWALL HOSPITAL - NEWBURGH CAMPUS,-74.01456558,41.50342485,NY,OPEN,242.0
ST. LUKE'S CORNWALL HOSPITAL - CORNWALL CAMPUS,-74.04232114,41.43525136,NY,OPEN,125.0
FF THOMPSON HOSPITAL,-77.2902443,42.87601496,NY,OPEN,113.0
ST ANTHONY COMMUNITY HOSPITAL,-74.35746215,41.26136292,NY,OPEN,60.0
BON SECOURS COMMUNITY HOSPITAL,-74.68159719,41.3676357,NY,OPEN,122.0
ORANGE REGIONAL MEDICAL CENTER,-74.36831226,41.44191408,NY,OPEN,353.0
OSWEGO HOSPITAL,-76.51637765,43.45401657,NY,OPEN,126.0
AURELIA OSBORN FOX MEMORIAL HOSPITAL,-75.05215347,42.45779332,NY,OPEN,60.0
PUTNAM HOSPITAL CENTER,-73.66297571,41.38262712,NY,OPEN,164.0
ST MARY'S HOSPITAL,-73.67642397,42.74272051,NY,OPEN,196.0
SAMARITAN HOSPITAL,-73.672164,42.73329249,NY,OPEN,212.0
HELEN HAYES HOSPITAL,-73.98834472,41.21430723,NY,OPEN,130.0
NYACK HOSPITAL,-73.92601813,41.09621147,NY,OPEN,375.0
GOOD SAMARITAN HOSPITAL - SUFFERN,-74.13481142,41.11159578,NY,OPEN,286.0
CLAXTON-HEPBURN MEDICAL CENTER,-75.49988778,44.69159065,NY,OPEN,130.0
EDWARD JOHN NOBLE HOSPITAL OF GOUVERNEUR,-75.47484872,44.33752535,NY,OPEN,25.0
MASSENA MEMORIAL HOSPITAL,-74.90874009,44.93623403,NY,OPEN,50.0
CANTON-POTSDAM HOSPITAL,-74.98211632,44.67651062,NY,OPEN,94.0
CLIFTON-FINE HOSPITAL,-75.05630402,44.16240704,NY,OPEN,20.0
SARATOGA HOSPITAL,-73.79678273,43.08588022,NY,OPEN,171.0
SUNNYVIEW REHABILITATION HOSPITAL,-73.9163125,42.82017142,NY,OPEN,115.0
COBLESKILL REGIONAL HOSPITAL,-74.48179866,42.6869295,NY,OPEN,40.0
BELLEVUE WOMAN'S CENTER OF ELLIS MEDICINE,-73.87895472,42.79276899,NY,OPEN,55.0
SCHUYLER HOSPITAL,-76.85997058,42.35245875,NY,OPEN,25.0
ST. JAMES MERCY HEALTH SYSTEM,-77.6606131,42.31387327,NY,OPEN,15.0
BROOKHAVEN MEMORIAL HOSPITAL MEDICAL CENTER,-72.97714065,40.78005719,NY,OPEN,306.0
SOUTHAMPTON HOSPITAL,-72.37994406,40.88505974,NY,OPEN,125.0
EASTERN LONG ISLAND HOSPITAL,-72.36112732,41.11036057,NY,OPEN,90.0
HUNTINGTON HOSPITAL,-73.41619953,40.87932924,NY,OPEN,408.0
SOUTHSIDE HOSPITAL,-73.24115864,40.72596015,NY,OPEN,321.0
PECONIC BAY MEDICAL CENTER,-72.67362495,40.93426399,NY,OPEN,140.0
ST CHARLES HOSPITAL AND REHABILITATION CENTER,-73.06096322,40.94663123,NY,OPEN,243.0
ST. CATHERINE OF SIENA MEDICAL CENTER,-73.22299673,40.86850019,NY,OPEN,306.0
JACOBI MEDICAL CENTER,-73.84751215,40.85629836,NY,OPEN,457.0
CAYUGA MEDICAL CENTER,-76.53748416,42.46898507,NY,OPEN,212.0
GOOD SAMARITAN HOSPITAL - WEST ISLIP,-73.29439462,40.69388013,NY,OPEN,437.0
HEALTHALLIANCE HOSPITAL - MARY'S AVENUE CAMPSU,-73.99968712,41.92149416,NY,OPEN,150.0
HEALTHALLIANCE HOSPITAL - BROADWAY CAMPUS,-73.99484207,41.92665841,NY,OPEN,150.0
ELLENVILLE REGIONAL HOSPITAL,-74.37903497,41.73262979,NY,OPEN,25.0
GLENS FALLS HOSPITAL,-73.64631274,43.30662939,NY,OPEN,410.0
WHITE PLAINS HOSPITAL CENTER,-73.7693051,41.02559431,NY,OPEN,292.0
NEWARK-WAYNE COMMUNITY HOSPITAL,-77.10166991,43.06049938,NY,OPEN,120.0
ST. JOHN'S RIVERSIDE HOSPITAL - DOBBS FERRY,-73.86191965,41.01439225,NY,OPEN,12.0
NORTHERN WESTCHESTER HOSPITAL,-73.72570075,41.19705408,NY,OPEN,145.0
PHELPS MEMORIAL HOSPITAL CENTER,-73.86308776,41.10900706,NY,OPEN,238.0
NEW YORK-PRESBYTERIAN/LAWRENCE HOSPITAL,-73.8365642,40.94209087,NY,OPEN,187.0
SOLDIERS AND SAILORS MEMORIAL HOSPITAL,-77.06119957,42.67140067,NY,OPEN,25.0
BRONX-LEBANON HOSPITAL CENTER - FULTON DIVISION,-73.90405698,40.83171479,NY,OPEN,164.0
WESTCHESTER MEDICAL CENTER,-73.80495477,41.08609075,NY,OPEN,652.0
MONTEFIORE MEDICAL CENTER - MOSES DIVISION,-73.8798267,40.88007926,NY,OPEN,779.0
CALVARY HOSPITAL,-73.84394163,40.84798989,NY,OPEN,225.0
NORTH CENTRAL BRONX HOSPITAL,-73.88105711,40.8803656,NY,OPEN,213.0
WYOMING COUNTY COMMUNITY HOSPITAL,-78.1310725,42.75430004,NY,OPEN,62.0
BROOKDALE HOSPITAL MEDICAL CENTER,-73.91255653,40.6552691,NY,OPEN,530.0
BROOKLYN HOSPITAL CENTER,-73.97788376,40.69057251,NY,OPEN,464.0
KINGS COUNTY HOSPITAL CENTER,-73.94469079,40.65661638,NY,OPEN,639.0
CONEY ISLAND HOSPITAL,-73.96533243,40.58541438,NY,OPEN,371.0
MAIMONIDES MEDICAL CENTER,-73.99845263,40.63947888,NY,OPEN,679.0
NYU LUTHERAN MEDICAL CENTER,-74.02091469,40.64656399,NY,OPEN,396.0
NEW YORK METHODIST HOSPITAL,-73.97899052,40.6677617,NY,OPEN,591.0
INTERFAITH MEDICAL CENTER,-73.93736833,40.67823304,NY,OPEN,287.0
WYCKOFF HEIGHTS MEDICAL CENTER,-73.9177637,40.70396404,NY,OPEN,324.0
NYU HOSPITAL FOR JOINT DISEASES,-73.98299996,40.73443169,NY,OPEN,225.0
HOSPITAL FOR SPECIAL SURGERY,-73.95231485,40.76492338,NY,OPEN,215.0
LENOX HILL HOSPITAL,-73.96089077,40.77370268,NY,OPEN,632.0
METROPOLITAN HOSPITAL CENTER,-73.94453023,40.78492694,NY,OPEN,338.0
NEW YORK EYE AND EAR INFIRMARY,-73.98448331,40.73185306,NY,OPEN,69.0
NEW YORK PRESBYTERIAN MORGAN STANLEY CHILDREN'S HOSPITAL,-73.94128258,40.83976326,NY,OPEN,190.0
MOUNT SINAI HOSPITAL,-73.95321427,40.78976753,NY,OPEN,1144.0
GRACIE SQUARE HOSPITAL,-73.95302135,40.7697165,NY,OPEN,157.0
RICHMOND UNIVERSITY MEDICAL CENTER - BAYLEY SETON CAMPUS,-74.07535459,40.62242782,NY,OPEN,25.0
FLUSHING HOSPITAL MEDICAL CENTER,-73.81646552,40.75540992,NY,OPEN,293.0
QUEENS HOSPITAL CENTER,-73.80455619,40.71707221,NY,OPEN,247.0
ELMHURST HOSPITAL CENTER,-73.88607966,40.74482736,NY,OPEN,551.0
JAMAICA HOSPITAL MEDICAL CENTER,-73.81611489,40.70010365,NY,OPEN,408.0
ST. JOHN'S EPISCOPAL HOSPITAL-SOUTH SHORE,-73.75355062,40.59870798,NY,OPEN,241.0
FOREST HILLS HOSPITAL,-73.85150671,40.72899467,NY,OPEN,222.0
WOODHULL MEDICAL AND MENTAL HEALTH CENTER,-73.94237898,40.69952267,NY,OPEN,388.0
NEW YORK HOSPITAL QUEENS,-73.82541638,40.74677228,NY,OPEN,519.0
