NAME,X,Y,STATE,STATUS,BEDS,ICU_Beds
METROPOLITAN HOSPITAL CENTER,-73.94453023,40.78492694,NY,OPEN,338.0,34
NEW YORK EYE AND EAR INFIRMARY,-73.98448331,40.73185306,NY,OPEN,69.0,3
NEW YORK PRESBYTERIAN MORGAN STANLEY CHILDREN'S HOSPITAL,-73.94128258,40.83976326,NY,OPEN,190.0,19
MOUNT SINAI HOSPITAL,-73.95321427,40.78976753,NY,OPEN,1144.0,172
GRACIE SQUARE HOSPITAL,-73.95302135,40.7697165,NY,OPEN,157.0,16
RICHMOND UNIVERSITY MEDICAL CENTER - BAYLEY SETON CAMPUS,-74.07535459,40.62242782,NY,OPEN,25.0,1
FLUSHING HOSPITAL MEDICAL CENTER,-73.81646552,40.75540992,NY,OPEN,293.0,29
QUEENS HOSPITAL CENTER,-73.80455619,40.71707221,NY,OPEN,247.0,25
ELMHURST HOSPITAL CENTER,-73.88607966,40.74482736,NY,OPEN,551.0,83
JAMAICA HOSPITAL MEDICAL CENTER,-73.81611489,40.70010365,NY,OPEN,408.0,41
ST. JOHN'S EPISCOPAL HOSPITAL-SOUTH SHORE,-73.75355062,40.59870798,NY,OPEN,241.0,24
FOREST HILLS HOSPITAL,-73.85150671,40.72899467,NY,OPEN,222.0,22
WOODHULL MEDICAL AND MENTAL HEALTH CENTER,-73.94237898,40.69952267,NY,OPEN,388.0,39
NEW YORK HOSPITAL QUEENS,-73.82541638,40.74677228,NY,OPEN,519.0,78
RICHMOND UNIVERSITY MEDICAL CENTER - MAIN CAMPUS,-74.1059378,40.63590241,NY,OPEN,448.0,45
STATEN ISLAND UNIVERSITY HOSPITAL - NORTH,-74.08621989,40.58498461,NY,OPEN,508.0,76
MILLARD FILLMORE SUBURBAN HOSPITAL,-78.73023829,42.99403948,NY,OPEN,265.0,26
ALBANY MEMORIAL HOSPITAL,-73.748675,42.67418337,NY,OPEN,165.0,16
BELLEVUE HOSPITAL CENTER,-73.97538175,40.7393201,NY,OPEN,912.0,137
BRONX-LEBANON HOSPITAL CENTER - CONCOURSE DIVISION,-73.91114694,40.84349255,NY,OPEN,415.0,42
ELLIS HOSPITAL,-73.91731809,42.81985762,NY,OPEN,368.0,37
GLEN COVE HOSPITAL,-73.62238567,40.8710014,NY,OPEN,247.0,25
KINGSBROOK JEWISH MEDICAL CENTER,-73.93354531,40.65944045,NY,OPEN,303.0,30
LONG ISLAND JEWISH MEDICAL CENTER,-73.70810636,40.75434328,NY,OPEN,1025.0,154
MONTEFIORE MOUNT VERNON HOSPITAL,-73.840562,40.91289836,NY,OPEN,176.0,18
MONTEFIORE NEW ROCHELLE HOSPITAL,-73.7877626,40.91280606,NY,OPEN,23.0,1
MOUNT SINAI BETH ISRAEL BROOKLYN,-73.94290124,40.6188201,NY,OPEN,212.0,21
MOUNT SINAI HOSPITAL - MOUNT SINAI HOSPITAL OF QUEENS,-73.92488434,40.76829506,NY,OPEN,228.0,23
NEW YORK PRESBYTERIAN HOSPITAL - ALLEN HOSPITAL,-73.91305033,40.87327524,NY,OPEN,196.0,20
NEW YORK PRESBYTERIAN HOSPITAL - WESTCHESTER DIVISION,-73.75390988,41.02757951,NY,OPEN,270.0,27
NEWYORK-PRESBYTERIAN/HUDSON VALLEY HOSPITAL,-73.89260099,41.29246466,NY,OPEN,128.0,13
NICHOLAS H NOYES MEMORIAL HOSPITAL,-77.69777078,42.55302525,NY,OPEN,67.0,3
NORTHERN DUTCHESS HOSPITAL,-73.91319583,41.93547004,NY,OPEN,68.0,3
CROUSE HOSPITAL - COMMONWEALTH DIVISION,-76.10738979,43.09843904,NY,OPEN,40.0,2
ONEIDA HEALTHCARE,-75.65449007,43.07770601,NY,OPEN,101.0,10
OSWEGO HOSPITAL - ALVIN L KRAKAU COMM MTL HEALTH CENTER DIV,-76.48991686,43.448562,NY,OPEN,32.0,2
ROCKEFELLER UNIVERSITY HOSPITAL,-73.95462317,40.76304744,NY,OPEN,40.0,2
HARLEM HOSPITAL CENTER,-73.93986126,40.81426493,NY,OPEN,282.0,28
HENRY J. CARTER SPECIALTY HOSPITAL,-73.94162385,40.80328511,NY,OPEN,201.0,20
SBH HEALTH SYSTEM,-73.89136288,40.85268901,NY,OPEN,461.0,46
IRA DAVENPORT MEMORIAL HOSPITAL INC,-77.27890663,42.3743292,NY,OPEN,35.0,2
JOHN T MATHER MEMORIAL HOSPITAL OF PORT JEFFERSON NEW YORK INC,-73.05439851,40.9390674,NY,OPEN,248.0,25
